Course Name,Course Topic,Course Type,Duration(in hours),Topic OutCome,University Name,Course Delivery Model,Fee Structure (in rupees),Country,State,Website Link
Design thinking Specialization,Insights to inspiration,Diplomo,40,"StrategicThinking,creativity, Innovation,Innovation Management, Design thinking",,Online,2429,United States,virginia,https://www.coursera.org/specializations/uva-darden-design-thinking?action=enroll#outcomes
Design thinking Specialization,Ideas to Action,Diplomo,40,"StrategicThinking,creativity, Innovation,Innovation Management, Design thinking",,Online,2429,United States,virginia,https://www.coursera.org/specializations/uva-darden-design-thinking?action=enroll#outcomes
Design thinking Specialization,Discovery Tools,Diplomo,40,"StrategicThinking,creativity, Innovation,Innovation Management, Design thinking",,Online,2429,United States,virginia,https://www.coursera.org/specializations/uva-darden-design-thinking?action=enroll#outcomes
Design thinking Specialization,Deepening your Design thinking process,Diplomo,40,"StrategicThinking,creativity, Innovation,Innovation Management, Design thinking",,Online,2429,United States,virginia,https://www.coursera.org/specializations/uva-darden-design-thinking?action=enroll#outcomes
Design thinking for Innovation,what is Design Thinking?.,Short Term Course,6,"Participants will gain the ability to apply design thinking as a problem-solving approach, uncovering innovative solutions across various organizational contexts.",,Online,8210,United States,virginia,https://www.coursera.org/learn/uva-darden-design-thinking-innovation#outcomes
Design thinking for Innovation,Preparing your mind for innovation,Short Term Course,6,"Participants will gain the ability to apply design thinking as a problem-solving approach, uncovering innovative solutions across various organizational contexts.",,Online,8210,United States,virginia,https://www.coursera.org/learn/uva-darden-design-thinking-innovation#outcomes
Design thinking for Innovation,Idea generation,Short Term Course,6,"Participants will gain the ability to apply design thinking as a problem-solving approach, uncovering innovative solutions across various organizational contexts.",,Online,8210,United States,virginia,https://www.coursera.org/learn/uva-darden-design-thinking-innovation#outcomes
Design thinking for Innovation,Experimentation,Short Term Course,6,"Participants will gain the ability to apply design thinking as a problem-solving approach, uncovering innovative solutions across various organizational contexts.",,Online,8210,United States,virginia,https://www.coursera.org/learn/uva-darden-design-thinking-innovation#outcomes
Design thinking for Innovation,Final Assignment,Short Term Course,6,"Participants will gain the ability to apply design thinking as a problem-solving approach, uncovering innovative solutions across various organizational contexts.",,Online,8210,United States,virginia,https://www.coursera.org/learn/uva-darden-design-thinking-innovation#outcomes
"Innovation Through Design: Think, Make, Break, Repeat",Introducing Design,Certificate,15,"Participants will learn to leverage design thinking as a strategic skill to tackle complex problems, transforming challenges into innovative opportunities through practical tools and techniques.


",,Online,2429,Australia,New South Wales,https://www.coursera.org/learn/innovation-through-design
"Innovation Through Design: Think, Make, Break, Repeat",Design thinking,Certificate,15,"Participants will learn to leverage design thinking as a strategic skill to tackle complex problems, transforming challenges into innovative opportunities through practical tools and techniques.


",,Online,2429,Australia,New South Wales,https://www.coursera.org/learn/innovation-through-design
"Innovation Through Design: Think, Make, Break, Repeat",Design making,Certificate,15,"Participants will learn to leverage design thinking as a strategic skill to tackle complex problems, transforming challenges into innovative opportunities through practical tools and techniques.


",,Online,2429,Australia,New South Wales,https://www.coursera.org/learn/innovation-through-design
"Innovation Through Design: Think, Make, Break, Repeat",Design breaking,Certificate,15,"Participants will learn to leverage design thinking as a strategic skill to tackle complex problems, transforming challenges into innovative opportunities through practical tools and techniques.


",,Online,2429,Australia,New South Wales,https://www.coursera.org/learn/innovation-through-design
"Innovation Through Design: Think, Make, Break, Repeat",Repeating design,Certificate,15,"Participants will learn to leverage design thinking as a strategic skill to tackle complex problems, transforming challenges into innovative opportunities through practical tools and techniques.


",,Online,2429,Australia,New South Wales,https://www.coursera.org/learn/innovation-through-design
Design-Led Strategy: Design thinking for business strategy and entrepreneurship,what is design-led strategy?,Certificate,19,"Participants will acquire tools and methodologies to effectively introduce innovative products and services, leveraging design strategy to overcome organizational challenges and enhance business outcomes.",,Online,2429,Australia,New South Wales,https://www.coursera.org/learn/design-strategy?action=enroll
Design-Led Strategy: Design thinking for business strategy and entrepreneurship,primary Market Research and problem statement definition,Certificate,19,"Participants will acquire tools and methodologies to effectively introduce innovative products and services, leveraging design strategy to overcome organizational challenges and enhance business outcomes.",,Online,2429,Australia,New South Wales,https://www.coursera.org/learn/design-strategy?action=enroll
Design-Led Strategy: Design thinking for business strategy and entrepreneurship,Prototyping and product ideation,Certificate,19,"Participants will acquire tools and methodologies to effectively introduce innovative products and services, leveraging design strategy to overcome organizational challenges and enhance business outcomes.",,Online,2429,Australia,New South Wales,https://www.coursera.org/learn/design-strategy?action=enroll
Design-Led Strategy: Design thinking for business strategy and entrepreneurship,Design-led strategy in practice: Corporate case studies,Certificate,19,"Participants will acquire tools and methodologies to effectively introduce innovative products and services, leveraging design strategy to overcome organizational challenges and enhance business outcomes.",,Online,2429,Australia,New South Wales,https://www.coursera.org/learn/design-strategy?action=enroll
Design-Led Strategy: Design thinking for business strategy and entrepreneurship,Course wrap-up,Certificate,19,"Participants will acquire tools and methodologies to effectively introduce innovative products and services, leveraging design strategy to overcome organizational challenges and enhance business outcomes.",,Online,2429,Australia,New South Wales,https://www.coursera.org/learn/design-strategy?action=enroll
The Language of Design: Form and Meaning,Course orientation and Overview,Short Term Course,8,"Participants will learn to articulate key design terminology, establish objective criteria for successful design outcomes, and engage critically with graphic design works, focusing on visual form, meaning, and context.",,Online,2429,United States,California,https://www.coursera.org/learn/design-language?action=enroll
The Language of Design: Form and Meaning,Audience/context/culture,Short Term Course,8,"Participants will learn to articulate key design terminology, establish objective criteria for successful design outcomes, and engage critically with graphic design works, focusing on visual form, meaning, and context.",,Online,2429,United States,California,https://www.coursera.org/learn/design-language?action=enroll
The Language of Design: Form and Meaning,Basics of Form,Short Term Course,8,"Participants will learn to articulate key design terminology, establish objective criteria for successful design outcomes, and engage critically with graphic design works, focusing on visual form, meaning, and context.",,Online,2429,United States,California,https://www.coursera.org/learn/design-language?action=enroll
The Language of Design: Form and Meaning,Meaning and Concept,Short Term Course,8,"Participants will learn to articulate key design terminology, establish objective criteria for successful design outcomes, and engage critically with graphic design works, focusing on visual form, meaning, and context.",,Online,2429,United States,California,https://www.coursera.org/learn/design-language?action=enroll
The Language of Design: Form and Meaning,Critique and Effective Design,Short Term Course,8,"Participants will learn to articulate key design terminology, establish objective criteria for successful design outcomes, and engage critically with graphic design works, focusing on visual form, meaning, and context.",,Online,2429,United States,California,https://www.coursera.org/learn/design-language?action=enroll
Design Thinking for the Greater Good: Innovation in the Social Sector,Design Thinking Fundamentals,Short Term Course,8,"Problem Solving, User-Centered Design,Prototyping,Social Issues ,Design Thinking",,Online,2429,United States,virginia,https://www.coursera.org/learn/uva-darden-design-thinking-social-sector
Design Thinking for the Greater Good: Innovation in the Social Sector,"Before  you begin and asking ""What is""?",Short Term Course,8,"Problem Solving, User-Centered Design,Prototyping,Social Issues ,Design Thinking",,Online,2429,United States,virginia,https://www.coursera.org/learn/uva-darden-design-thinking-social-sector
Design Thinking for the Greater Good: Innovation in the Social Sector,"A mindset for innovation and asking ""what it is""?",Short Term Course,8,"Problem Solving, User-Centered Design,Prototyping,Social Issues ,Design Thinking",,Online,2429,United States,virginia,https://www.coursera.org/learn/uva-darden-design-thinking-social-sector
Design Thinking for the Greater Good: Innovation in the Social Sector,"""What wows""? And ""What works""?",Short Term Course,8,"Problem Solving, User-Centered Design,Prototyping,Social Issues ,Design Thinking",,Online,2429,United States,virginia,https://www.coursera.org/learn/uva-darden-design-thinking-social-sector
Agile meets Design Thinking,Problem Agile Solves,Degree Course,48,"Learn to apply agile methodologies, design user-centered products, and collaborate effectively using agile user stories and prototypes.",,Online,13237,United States,virginia,https://www.coursera.org/learn/uva-darden-getting-started-agile?action=enroll#outcomes
Agile meets Design Thinking,"Focusing Your Agile with personas,Jobs--to-br-done,and Alternatives",Degree Course,48,"Learn to apply agile methodologies, design user-centered products, and collaborate effectively using agile user stories and prototypes.",,Online,13237,United States,virginia,https://www.coursera.org/learn/uva-darden-getting-started-agile?action=enroll#outcomes
Agile meets Design Thinking,Getting to Great Agile User Stories,Degree Course,48,"Learn to apply agile methodologies, design user-centered products, and collaborate effectively using agile user stories and prototypes.",,Online,13237,United States,virginia,https://www.coursera.org/learn/uva-darden-getting-started-agile?action=enroll#outcomes
Agile meets Design Thinking,Focusing on Customer Values with User Stories,Degree Course,48,"Learn to apply agile methodologies, design user-centered products, and collaborate effectively using agile user stories and prototypes.",,Online,13237,United States,virginia,https://www.coursera.org/learn/uva-darden-getting-started-agile?action=enroll#outcomes
Design Thinking and Global Startup,Stanford Design Thinking and Lean StartUp I,Short Term Course,7,"This course teaches Stanford Design Thinking with a focus on lean prototyping and testing, using advanced manufacturing technologies like FaaS, AI, and 3D printing, to prepare students for creating innovative global startups.",,Online,2429,South Korea,Daejeon,https://www.coursera.org/learn/startup101?action=enroll
Design Thinking and Global Startup,Stanford Design Thinking and Lean StartUp I,Short Term Course,7,"This course teaches Stanford Design Thinking with a focus on lean prototyping and testing, using advanced manufacturing technologies like FaaS, AI, and 3D printing, to prepare students for creating innovative global startups.",,Online,2429,South Korea,Daejeon,https://www.coursera.org/learn/startup101?action=enroll
Design Thinking and Global Startup,Stanford Design Thinking and Lean StartUp II,Short Term Course,7,"This course teaches Stanford Design Thinking with a focus on lean prototyping and testing, using advanced manufacturing technologies like FaaS, AI, and 3D printing, to prepare students for creating innovative global startups.",,Online,2429,South Korea,Daejeon,https://www.coursera.org/learn/startup101?action=enroll
Design Thinking and Global Startup,Design thinking with 3D Printing,Short Term Course,7,"This course teaches Stanford Design Thinking with a focus on lean prototyping and testing, using advanced manufacturing technologies like FaaS, AI, and 3D printing, to prepare students for creating innovative global startups.",,Online,2429,South Korea,Daejeon,https://www.coursera.org/learn/startup101?action=enroll
Design Thinking and Global Startup,Introduction to Singapore and Silicon-V StartUp Ecosystem and  Strategy,Short Term Course,7,"This course teaches Stanford Design Thinking with a focus on lean prototyping and testing, using advanced manufacturing technologies like FaaS, AI, and 3D printing, to prepare students for creating innovative global startups.",,Online,2429,South Korea,Daejeon,https://www.coursera.org/learn/startup101?action=enroll
Design Thinking and Global Startup,Global IR Pitch and Deck & Case Study,Short Term Course,7,"This course teaches Stanford Design Thinking with a focus on lean prototyping and testing, using advanced manufacturing technologies like FaaS, AI, and 3D printing, to prepare students for creating innovative global startups.",,Online,2429,South Korea,Daejeon,https://www.coursera.org/learn/startup101?action=enroll
universidad nacional autonoma de mexico,Design Thinking and Education,Short Term Course,9,Learn to apply design thinking for innovative teaching and create projects to transform educational practices.,,Online,2429,Mexico,Mexico City,https://www.coursera.org/learn/designthinking-docencia?action=enroll
